sentence,sentiment
"Codziennie słyszę od znajomych, że ledwo wiążą koniec z końcem",negative
"Po wielu latach w końcu mogę sobie pozwolić na wymianę starego samochodu",positive
"Ceny leków dla seniorów są już tak wysokie, że wielu rezygnuje z leczenia",negative
"W tym roku pierwszy raz nie stresuję się przed sezonem grzewczym",positive
"Coraz więcej sklepów osiedlowych się zamyka, bo ludzie nie mają za co kupować",negative
"W końcu widzę, że młodzi nie wyjeżdżają masowo za granicę, tylko zostają w kraju",positive
"Za podstawowe zakupy dla czteroosobowej rodziny płacę już ponad tysiąc złotych",negative
"Po raz pierwszy od lat czuję, że moja pensja realnie rośnie, a nie tylko na papierze",positive
"W kolejkach do lekarza jak były kilkuletnie, tak dalej są, nic się nie zmieniło",negative
"W końcu mogę spokojnie planować przyszłość dzieci bez ciągłego stresu finansowego",positive
"Ceny gazu są tak absurdalne, że ludzie wracają do butli propan-butan",negative
"W tym roku więcej znajomych wróciło z emigracji niż wyjechało, to dobry znak",positive
"Coraz trudniej dostać się do specjalisty, nawet jak masz prywatną opiekę",negative
"W końcu czuję, że w Polsce żyje się coraz bezpieczniej i bardziej przewidywalnie",positive
"Rachunki za prąd dla małego mieszkania są wyższe niż rata kredytu hipotecznego",negative
"Jak patrzę na nowe inwestycje i drogi, to naprawdę widać, że kraj się rozwija",positive
"Za paczkę masła płacę już tyle, co kiedyś za cały obiad w restauracji",negative
"W końcu ludzie przestali się bać zakładać własnych firm i biorą sprawy w swoje ręce",positive
"Coraz więcej osób wokół mnie musi brać pożyczki, żeby przetrwać do pierwszego",negative
"Po raz pierwszy od dawna nie boję się otwierać rachunków, bo wiem, że dam radę",positive
"Ceny warzyw i owoców są już tak wysokie, że rzadziej jemy zdrowo",negative
"W tym roku więcej moich znajomych dostało podwyżki niż kiedykolwiek wcześniej",positive
"Za ogrzewanie domu jednorodzinnego płacimy już tyle, co kiedyś za czynsz",negative
"W końcu widzę, że młodzi ludzie mają coraz łatwiej na rynku nieruchomości",positive
"Coraz więcej rodzin rezygnuje z wakacji, bo po prostu ich nie stać",negative
"Po raz pierwszy od lat czuję prawdziwy optymizm co do przyszłości naszego kraju",positive
"Ceny w aptekach są tak wysokie, że ludzie kupują leki tylko na raty",negative
"W końcu mogę spokojnie myśleć o powiększeniu rodziny bez strachu o pieniądze",positive
"Za podstawowe produkty w koszyku płacę już prawie dwa razy więcej niż rok temu",negative
"W tym roku pierwszy raz od dawna nie musieliśmy ograniczać prezentów pod choinkę",positive
"Coraz trudniej znaleźć mieszkanie do wynajęcia w normalnej cenie w dużym mieście",negative
"W końcu czuję, że Polska dogania Zachód i ludzie żyją coraz dostatniej",positive
"Rachunki za telefon i internet też poszły w górę, wszystko drożeje jednocześnie",negative
"Jak patrzę na nowe żłobki i przedszkola, to naprawdę widać troskę o rodziny",positive
"Ceny mięsa są już tak wysokie, że wiele rodzin przeszło na dietę wegetariańską",negative
"W końcu widzę, że ludziom żyje się lepiej i mają więcej powodów do uśmiechu",positive
"Za zwykłe zakupy spożywcze na tydzień wydaję już prawie pół minimalnej pensji",negative
"Po raz pierwszy od lat mogę sobie pozwolić na regularne oszczędzanie",positive
"Coraz więcej osób wokół mnie narzeka, że nie stać ich już na nic poza rachunkami",negative
"W tym roku w końcu czuję prawdziwą stabilizację i spokój o jutro",positive
"Ceny paliwa są tak wysokie, że ludzie przesiadają się na komunikację miejską",negative
"W końcu widzę, że Polska staje się krajem, w którym chce się żyć i pracować",positive
"Za chleb i mleko płacę już tyle, co kiedyś za cały obiad dla rodziny",negative
"Coraz więcej młodych ludzi kupuje mieszkania i zakłada rodziny w Polsce",positive
"Rachunki za prąd i gaz zjadają już całą trzynastą emeryturę",negative
"W końcu mogę spokojnie planować emeryturę bez ciągłego strachu o pieniądze",positive
"Ceny w restauracjach są już tak wysokie, że chodzimy tylko na urodziny",negative
"Po raz pierwszy od dawna czuję, że żyję w normalnym, rozwijającym się kraju",positive
"Za podstawowe rzeczy płacimy już tyle, że ludzie zaczynają się zadłużać",negative
"W tym roku w końcu widzę realną poprawę jakości życia zwykłych ludzi",positive
"Byłam dzisiaj w sklepie i za podstawowe zakupy zapłaciłam dwie stówy, to jest jakiś kosmos.",negative
"W końcu wyremontowali ten chodnik przed blokiem, teraz da się normalnie przejść z wózkiem.",positive
"Stoję w korkach godzinę dziennie, to miasto jest kompletnie zakorkowane i nikt z tym nic nie robi.",negative
"Fajnie, że w parku zrobili nową siłownię plenerową, jest gdzie poćwiczyć za darmo.",positive
"Czynsz za mieszkanie znowu poszedł w górę, niedługo będziemy pracować tylko na opłaty.",negative
"Dostałem w pracy podwyżkę inflacyjną, wreszcie czuję się trochę bezpieczniej finansowo.",positive
"Na wizytę u okulisty na fundusz mam czekać rok, szybciej oślepnę niż się dostanę.",negative
"Podoba mi się, że pociągi jeżdżą teraz punktualnie i są czyste, duża zmiana na plus.",positive
"Szukam pracy od trzech miesięcy i cisza, nikt nawet nie oddzwania.",negative
"Super, że otworzyli ten nowy żłobek na osiedlu, to ratuje nam życie.",positive
"Węgiel jest tak drogi, że boję się nadchodzącej zimy.",negative
"Internet światłowodowy, który podłączyli nam na wsi, działa rewelacyjnie.",positive
"Smog jest taki, że nie da się otworzyć okna, dusimy się w tym mieście.",negative
"Cieszę się, że policja częściej patroluje naszą dzielnicę, jest spokojniej.",positive
"Raty kredytu wzrosły mi dwukrotnie, jesteśmy pod kreską.",negative
"Dobrze, że w urzędzie można teraz wszystko załatwić jednym okienkiem, bez biegania.",positive
"Drogi są tak dziurawe, że urwałem zawieszenie w samochodzie.",negative
"Widać, że miasto się rozwija, powstają nowe biurowce i są miejsca pracy.",positive
"Ceny paliwa to jakiś żart, przesiadłem się na rower, bo nie wyrabiam.",negative
"Biblioteka po remoncie wygląda światowo, aż chce się tam siedzieć.",positive
"Sąsiad musiał zamknąć firmę, bo koszty prowadzenia działalności go zjadły.",negative
"Fajnie, że mamy coraz więcej ścieżek rowerowych, bezpieczniej się jeździ.",positive
"W szpitalu leżałem na korytarzu, bo nie było miejsc w salach, dramat.",negative
"Jestem pod wrażeniem, jak szybko działają te nowe e-recepty.",positive
"Jedzenie w stołówce szkolnej jest fatalnej jakości, dzieci nie chcą tego jeść.",negative
"W końcu zadbali o zieleń w centrum, przyjemnie usiąść na ławce.",positive
"Brakuje rąk do pracy w budowlance, fachowcy życzą sobie kosmiczne stawki.",negative
"System rowerów miejskich działa świetnie, korzystam codziennie.",positive
"Wycięli nam ostatni skwer pod kolejny blok, nie ma czym oddychać.",negative
"Dobrze, że stawiają te paczkomaty na każdym rogu, wygoda niesamowita.",positive
"Emerytura mojej mamy jest głodowa, muszę jej pomagać, żeby przeżyła.",negative
"Cieszę się, że mamy darmowe autostrady, podróż nad morze wyszła dużo taniej.",positive
"Znowu nie wywieźli śmieci na czas, kontenery aż kipią.",negative
"Lotnisko w naszym regionie ma coraz więcej połączeń, super sprawa.",positive
"Woda w kranie jest coraz droższa, a jej jakość pozostawia wiele do życzenia.",negative
"Podoba mi się, że organizują tyle darmowych koncertów w lato.",positive
"Kolejki na poczcie są nie do zniesienia, jedno okienko otwarte na cały urząd.",negative
"Dzięki tym dopłatom wreszcie ociepliliśmy dom, w środku jest dużo cieplej.",positive
"Ludzie są coraz bardziej agresywni i nieuprzejmi na ulicach.",negative
"Widać, że dbają o zabytki, stary rynek odzyskał blask.",positive
"Nie stać mnie na wakacje w tym roku, wszystko tak podrożało.",negative
"Nowy dworzec autobusowy jest bardzo nowoczesny i funkcjonalny.",positive
"Komunikacja miejska to porażka, autobusy wypadają z rozkładu.",negative
"Dobrze, że mamy te aplikacje do płacenia za parking, nie trzeba szukać drobnych.",positive
"Młodzi ludzie nie mają perspektyw i masowo wyjeżdżają z tego miasta.",negative
"Inwestycje w lokalną kulturę są widoczne, dom kultury tętni życiem.",positive
"Leki dla mojego ojca podrożały o kilkaset procent, to skandal.",negative
"Fajnie, że w końcu zrobili oświetlenie na naszej ulicy, nie jest już tak ciemno.",positive
"Deweloperzy budują klatki, a nie mieszkania, i żądają za to fortuny.",negative
"Cieszę się, że mogę pracować zdalnie, prawo pracy w końcu to uregulowało.",positive
"W lesie jest pełno śmieci, ludzie traktują naturę jak wysypisko.",negative
"Monitoring miejski sprawia, że czuję się bezpieczniej wracając w nocy.",positive
"Jakość pieczywa drastycznie spadła, sama chemia i spulchniacze.",negative
"Super, że w szkołach wprowadzili darmowe posiłki dla dzieci.",positive
"Czekam na decyzję z urzędu już pół roku, biurokracja mnie wykończy.",negative
"Widać, że turystyka w naszym regionie się rozwija, jest mnóstwo gości.",positive
"Pensje stoją w miejscu, a ceny w sklepach zmieniają się co tydzień.",negative
"Dobrze, że mamy dostęp do taniego i szybkiego internetu.",positive
"Sąsiedzi palą śmieciami w piecu, wieczorem nie da się wyjść z domu.",negative
"Podoba mi się, że powstają nowe place zabaw dla dzieci.",positive
"Edukacja w szkołach publicznych kuleje, muszę płacić za korepetycje.",negative
"Dzięki karcie miejskiej oszczędzam sporo na biletach.",positive
"W aptekach brakuje podstawowych leków, musiałem objechać całe miasto.",negative
"Cieszę się, że polska żywność jest wciąż smaczna i zdrowa.",positive
"Kredyt hipoteczny ze zmienną stopą to była pułapka, teraz płaczę i płacę.",negative
"Fajnie, że odnowili ten stary park, jest gdzie pospacerować.",positive
"Obsługa w urzędzie skarbowym jest niemiła i niekompetentna.",negative
"W końcu mamy porządny stadion w mieście, mecze ogląda się super.",positive
"Bilety do kina są tak drogie, że wolę obejrzeć film w domu.",negative
"Dobrze, że dbają o czystość ulic, służby sprzątające widać od rana.",positive
"Rynek pracy dla osób 50+ praktycznie nie istnieje, nikt nas nie chce.",negative
"Jestem zadowolona z opieki w szpitalu położniczym, standardy się podniosły.",positive
"Policja zajmuje się wlepianiem mandatów za byle co, zamiast ścigać złodziei.",negative
"Wygodnie się jeździ tą nową obwodnicą, omijam całe centrum.",positive
"Materiały budowlane podrożały tak, że musieliśmy wstrzymać budowę domu.",negative
"Cieszę się, że mamy tyle lokalnych festiwali, coś się dzieje w weekendy.",positive
"Pociągi są przepełnione, wczoraj całą drogę stałem na korytarzu.",negative
"Super, że wprowadzili segregację śmieci, trzeba dbać o planetę.",positive
"Na SORze traktują człowieka jak intruza, znieczulica totalna.",negative
"Podoba mi się, że w mieście jest coraz więcej murali, to ożywia mury.",positive
"Opłaty za wywóz śmieci są horrendalne, a i tak jest brudno.",negative
"W końcu udało mi się zapisać dziecko do przedszkola publicznego.",positive
"Zbankrutował mój ulubiony sklep osiedlowy, przegrał z dyskontami.",negative
"Dobrze, że mamy te rowery miejskie, to świetna alternatywa dla auta.",positive
"Remonty dróg ciągną się latami, całe miasto rozkopane.",negative
"Fajnie, że wspierają lokalnych producentów, kupuję tylko na targu.",positive
"Brak miejsc parkingowych doprowadza mnie do szału, krążę 20 minut pod blokiem.",negative
"Cieszę się, że wreszcie wymienili te stare, kopcące autobusy na elektryczne.",positive
"System edukacji produkuje bezrobotnych, uczą rzeczy nieprzydatnych w życiu.",negative
"Widać, że dbają o bezpieczeństwo pieszych, te nowe pasy są dobrze oświetlone.",positive
"Złodziejstwo w biały dzień, ukradli mi rower z piwnicy.",negative
"Jestem dumny z naszej lokalnej drużyny, świetnie reprezentują miasto.",positive
"Kolejki do kas w supermarkecie są kilometrowe, brakuje personelu.",negative
"Dobrze, że można płacić telefonem prawie wszędzie, duża wygoda.",positive
"Hałas od ulicy jest nie do wytrzymania, powinni postawić ekrany.",negative
"Podoba mi się, że rewitalizują stare fabryki, lofty wyglądają super.",positive
"Nie czuję się bezpiecznie w centrum po zmroku, jest za mało latarni.",negative
"W końcu zrobili porządek z reklamami w mieście, nie ma już takiego chaosu.",positive
"Ceny usług u fryzjera zwalają z nóg, niedługo będę się strzyc sam.",negative
"Super, że powstał ten aquapark, dzieciaki mają frajdę.",positive
"Służba zdrowia to studnia bez dna, a pacjent i tak musi płacić prywatnie.",negative
"Cieszę się, że mamy czyste powietrze w porównaniu do innych miast.",positive
"Wynajem mieszkania studentowi graniczy z cudem, ceny są zaporowe.",negative
"Fajnie, że coraz więcej spraw można załatwić przez profil zaufany.",positive
"Droga dojazdowa do naszej wsi to błoto i dziury, zapomnieli o nas.",negative
"Dobrze, że sadzą nowe drzewa wzdłuż ulic, będzie więcej cienia.",positive
"Warunki w akademiku są tragiczne, grzyb na ścianach i zimno.",negative
"Widać, że inwestują w sport, orliki są pełne dzieciaków.",positive
"Restauracje są tak drogie, że wychodzimy zjeść tylko od święta.",negative
"Podoba mi się, że biblioteki są teraz centrami kultury, a nie tylko wypożyczalniami.",positive
"Przez te ciągłe podwyżki prądu musimy oszczędzać na wszystkim.",negative
"Nareszcie mamy szybkie połączenie kolejowe ze stolicą.",positive
"W tym miesiącu po raz pierwszy od dawna zostało mi więcej niż zwykle na koncie oszczędnościowym",positive
"Coraz częściej słyszę od znajomych, że ledwo starcza im na czynsz i podstawowe rachunki",negative
"Po opłaceniu wszystkich rachunków zostaje mi w portfelu więcej niż kiedykolwiek wcześniej",positive
"Ceny w osiedlowym warzywniaku są już tak wysokie, że kupuję tylko najtańsze ziemniaki",negative
"W końcu mogę spokojnie kupić dzieciom nowe buty bez sprawdzania każdej złotówki",positive
"Za zwykły koszyk zakupów na weekend wydaję już tyle, co kiedyś na cały tydzień",negative
"Od kilku miesięcy czuję, że moja pensja realnie rośnie, a nie tylko na papierze",positive
"Rachunek za prąd przyszedł tak wysoki, że przez chwilę myślałem, że to pomyłka",negative
"W tym roku po raz pierwszy od lat nie musieliśmy rezygnować z wakacji nad morzem",positive
"Ceny paliwa sprawiają, że dojazd do pracy zaczyna być poważnym obciążeniem dla budżetu",negative
"W końcu mogę spokojnie odkładać na wymarzoną wymianę starego samochodu na nowy",positive
"Coraz więcej osób w rodzinie musi dorabiać na drugą zmianę, żeby związać koniec z końcem",negative
"Po raz pierwszy od dawna nie stresuję się przed otwarciem rachunku za ogrzewanie",positive
"Za paczkę masła i bochenek chleba płacę już tyle, co kiedyś za cały obiad",negative
"W tym roku w końcu stać nas na normalne święta bez brania pożyczki w banku",positive
"Ceny leków dla babci są tak wysokie, że kupujemy tylko te absolutnie konieczne",negative
"W końcu widzę, że młodzi ludzie wokół mnie kupują mieszkania zamiast tylko marzyć",positive
"Rachunki za gaz i prąd zjadły już całą trzynastą i czternastą emeryturę",negative
"Po raz pierwszy od lat czuję prawdziwy spokój o finansową przyszłość moich dzieci",positive
"Coraz trudniej znaleźć normalne produkty w sklepie w przystępnej cenie",negative
"W tym miesiącu w końcu udało nam się odłożyć całą wypłatę dziecka na studia",positive
"Ceny w sklepach są już tak absurdalne, że ludzie zaczynają robić zakupy tylko raz w miesiącu",negative
"W końcu mogę sobie pozwolić na regularne wizyty u dentysty bez poczucia winy",positive
"Rachunek za internet i telefon też poszedł w górę, wszystko drożeje naraz",negative
"Od kilku miesięcy czuję, że żyję w kraju, w którym naprawdę chce się mieszkać",positive
"Za zwykłe zakupy spożywcze dla czwórki wydaję już ponad tysiąc złotych tygodniowo",negative
"W tym roku pierwszy raz nie musieliśmy ograniczać prezentów gwiazdkowych dla dzieci",positive
"Ceny mięsa są tak wysokie, że na obiad coraz częściej mamy makaron z sosem",negative
"W końcu mogę spokojnie planować większe remonty w domu bez ciągłego stresu",positive
"Coraz więcej znajomych sprzedaje samochody, bo nie stać ich na paliwo i ubezpieczenie",negative
"Po raz pierwszy od dawna czuję, że moja praca jest odpowiednio wynagradzana",positive
"Rachunki za ogrzewanie mieszkania są wyższe niż rata kredytu hipotecznego",negative
"W tym roku w końcu stać nas na normalny wyjazd zagraniczny całą rodziną",positive
"Ceny warzyw i owoców są już tak kosmiczne, że rzadziej jemy sałatki w domu",negative
"W końcu widzę, że ludziom żyje się lepiej i mają więcej powodów do uśmiechu",positive
"Za podstawowe artykuły higieniczne płacę już tyle, co kiedyś za cały koszyk zakupów",negative
"Od kilku miesięcy regularnie odkładam na wymarzone wakacje, dawno tego nie było",positive
"Coraz więcej rodzin w okolicy rezygnuje z korepetycji, bo ich nie stać",negative
"W tym roku pierwszy raz od lat kupiliśmy dzieciom nowe rowery bez kredytu",positive
"Ceny energii są tak wysokie, że wiele osób wyłącza lodówki na noc",negative
"W końcu mogę spokojnie myśleć o powiększeniu rodziny bez strachu o finanse",positive
"Rachunek za prąd dla małego mieszkania jest wyższy niż czynsz kilka lat temu",negative
"Po raz pierwszy od dawna nie boję się inflacji i czuję stabilność finansową",positive
"Ceny w aptekach sprawiają, że ludzie kupują leki tylko w razie ostatecznej potrzeby",negative
"W tym miesiącu w końcu zostało mi na koncie więcej niż kiedykolwiek wcześniej",positive
"Coraz trudniej zaplanować normalny budżet domowy przy takich skokach cen",negative
"W końcu czuję, że Polska naprawdę dogania Zachód pod względem poziomu życia",positive
"Za zwykły obiad w restauracji płacimy już tyle, co kiedyś za cały weekend",negative
"Od kilku miesięcy moja pensja wystarcza nie tylko na rachunki, ale też na przyjemności",positive
"Ceny paliwa sprawiają, że ludzie rezygnują z dojazdów i pracują zdalnie",negative
"W tym roku pierwszy raz od lat nie musieliśmy wybierać między lekami a jedzeniem",positive
"Rachunki za gaz są tak wysokie, że ludzie wracają do palenia węglem",negative
"W końcu mogę spokojnie odkładać na emeryturę bez ciągłego poczucia straty",positive
"Coraz więcej osób w rodzinie korzysta z pomocy społecznej, bo nie daje rady",negative
"Po raz pierwszy od dawna czuję prawdziwy optymizm co do przyszłości finansowej",positive
"Ceny podstawowych produktów spożywczych rosną szybciej niż nasze pensje",negative
"W tym miesiącu w końcu kupiłem sobie nowe ubrania bez poczucia winy",positive
"Za ogrzewanie domu jednorodzinnego płacimy już tyle, co kiedyś za wakacje",negative
"W końcu widzę, że młodzi ludzie zostają w Polsce zamiast wyjeżdżać za granicę",positive
"Ceny w sklepach odzieżowych są tak wysokie, że kupujemy tylko na wyprzedażach",negative
"Od kilku miesięcy czuję, że żyję w kraju, który naprawdę się rozwija",positive
"Rachunek za prąd przyszedł wyższy niż moja miesięczna rata za samochód",negative
"W tym roku pierwszy raz od lat mogliśmy pomóc finansowo dorosłym dzieciom",positive
"Coraz więcej osób wokół mnie ogranicza jedzenie mięsa, bo ich nie stać",negative
"W końcu mogę spokojnie planować przyszłość bez ciągłego liczenia grosza",positive
"Ceny leków na receptę są już tak wysokie, że ludzie dzielą tabletki na pół",negative
"Po raz pierwszy od dawna nie stresuję się przed sezonem ogrzewania",positive
"Za zwykłe zakupy w drogerii wydaję już tyle, co kiedyś na cały miesiąc",negative
"W tym miesiącu w końcu odłożyłem całą premię na konto oszczędnościowe",positive
"Rachunki za media zjadają już połowę mojej miesięcznej pensji",negative
"W końcu czuję, że Polska staje się krajem, w którym naprawdę warto żyć",positive
"Ceny owoców i warzyw są już tak absurdalne, że rzadziej gotujemy zupy",negative
"Od kilku miesięcy moja pensja realnie wystarcza na więcej niż podstawy",positive
"Coraz więcej znajomych rezygnuje z samochodów na rzecz rowerów i komunikacji",negative
"W tym roku pierwszy raz od lat kupiliśmy nowe meble do salonu",positive
"Ceny prądu sprawiają, że ludzie wyłączają ogrzewanie w nocy",negative
"W końcu mogę spokojnie myśleć o zakupie własnego mieszkania",positive
"Za paczkę papieru toaletowego płacę już tyle, co kiedyś za cały koszyk",negative
"Po raz pierwszy od dawna czuję prawdziwą stabilność i spokój o jutro",positive
"Rachunki za gaz i prąd są wyższe niż rata kredytu na dom",negative
"W tym miesiącu w końcu zostało mi więcej niż zwykle po opłaceniu wszystkiego",positive
"Ceny w sklepach są już tak wysokie, że ludzie robią zakupy wspólnie",negative
"W końcu widzę, że ludziom żyje się dostatniej i mają mniej zmartwień",positive
"Coraz więcej rodzin rezygnuje z wakacji, bo wszystkie pieniądze idą na rachunki",negative
"Od kilku miesięcy regularnie odkładam na wymarzoną podróż zagraniczną",positive
"Ceny paliwa są tak wysokie, że tankuję tylko do połowy baku",negative
"W tym roku pierwszy raz od lat nie musieliśmy ograniczać wydatków na dzieci",positive
"Rachunek za prąd dla małego mieszkania jest wyższy niż czynsz w 2015 roku",negative
"W końcu mogę sobie pozwolić na regularne oszczędzanie bez wyrzeczeń",positive
"Za podstawowe produkty higieniczne płacę już prawie sto złotych",negative
"Po raz pierwszy od dawna czuję, że moja praca ma sens i jest dobrze płatna",positive
"Ceny w restauracjach sprawiają, że chodzimy tylko na ważne okazje",negative
"W tym miesiącu w końcu kupiłem sobie nowy telefon bez rat",positive
"Coraz więcej osób w okolicy sprzedaje rzeczy, żeby mieć na rachunki",negative
"W końcu czuję prawdziwy optymizm i wiarę w lepszą przyszłość naszego kraju",positive
"Rachunki za ogrzewanie są tak wysokie, że ludzie palą w piecu meblami",negative
"Od kilku miesięcy moja pensja wystarcza na wszystko i jeszcze zostaje",positive
"Ceny leków bez recepty są już tak absurdalne, że ludzie leczą się domowymi sposobami",negative
"W tym roku pierwszy raz od lat mogliśmy spokojnie pomóc rodzicom",positive
"Za zwykły koszyk zakupów wydaję już tyle, co kiedyś na pół miesiąca",negative
"W końcu mogę planować większe wydatki bez ciągłego stresu finansowego",positive
"Ceny prądu i gazu sprawiają, że ludzie ograniczają gotowanie w domu",negative
"Po raz pierwszy od dawna czuję, że żyję w normalnym, rozwijającym się kraju",positive
"Rachunki za media są już tak wysokie, że ludzie rezygnują z telewizji kablowej",negative
"W tym miesiącu w końcu odłożyłem całą wypłatę na konto oszczędnościowe",positive
"Coraz więcej osób wokół mnie żyje od pierwszego do pierwszego bez zapasu",negative
"W końcu widzę realną poprawę jakości życia zwykłych ludzi w Polsce",positive
"Ceny podstawowych artykułów są już tak wysokie, że ludzie kupują na raty",negative
"Od kilku miesięcy czuję, że Polska naprawdę idzie w dobrym kierunku",positive
"Za chleb, mleko i masło płacę już tyle, co kiedyś za cały obiad",negative
"W tym roku pierwszy raz od lat nie musieliśmy wybierać między rachunkami a jedzeniem",positive
"Ceny energii sprawiają, że wiele osób wyjeżdża z kraju na stałe",negative
"W końcu mogę spokojnie myśleć o przyszłości bez ciągłego strachu",positive
"Rachunek za prąd przyszedł wyższy niż moja miesięczna pensja sprzed pięciu lat",negative
"Wreszcie naprawili tę awarię wodociągu, dwa dni bez wody to był koszmar.",positive
"Ceny biletów do teatru są tak wysokie, że kultura staje się luksusem.",negative
"Podoba mi się, że w urzędach są teraz kąciki dla dzieci, łatwiej coś załatwić z maluchem.",positive
"Jakość powietrza zimą jest tragiczna, boję się wypuszczać dzieci na dwór.",negative
"Super, że powstała ta nowa ścieżka edukacyjna w lesie, świetne miejsce na spacer.",positive
"Znowu podnieśli opłaty za wywóz śmieci, a kontenery ciągle przepełnione.",negative
"Dzięki paczkomatom nie muszę stać w kolejce na poczcie, rewelacja.",positive
"Komunikacja zastępcza to jakaś pomyłka, autobusy jeżdżą jak chcą.",negative
"Cieszę się, że w naszym mieście dba się o seniorów, mają darmowe zajęcia.",positive
"W sklepie oszukują na wagach, niby promocja, a płacisz więcej.",negative
"Dobrze, że zrobili ten wybieg dla psów, w końcu jest gdzie bezpiecznie puścić zwierzaka.",positive
"Brak miejsc w domach opieki to ogromny problem, starzy ludzie są pozostawieni sami sobie.",negative
"Jestem pod wrażeniem, jak sprawnie działa teraz pogotowie ratunkowe.",positive
"Deweloper wyciął wszystkie stare drzewa na działce, został sam beton.",negative
"Widać, że stawiają na ekologię, coraz więcej autobusów elektrycznych na ulicach.",positive
"Czynsze za lokale użytkowe są zabójcze, małe sklepy padają jeden po drugim.",negative
"Fajnie, że odnowili elewacje kamienic w centrum, miasto wygląda piękniej.",positive
"Hałas z budowy obok nie daje żyć, pracują od szóstej rano.",negative
"Dzięki aplikacji bankowej mam kontrolę nad wydatkami, bardzo wygodne.",positive
"Szkolnictwo zawodowe leży, brakuje fachowców, a szkoły kształcą bezrobotnych.",negative
"Nareszcie mamy bezpośrednie połączenie lotnicze z południem Europy.",positive
"Kredyty frankowe zniszczyły życie wielu moim znajomym.",negative
"Dobrze, że straż miejska reaguje na źle zaparkowane auta, w końcu da się przejść chodnikiem.",positive
"Internet na wsi działa tak wolno, że nie da się pracować zdalnie.",negative
"Cieszę się, że promują zdrowy styl życia, siłownie plenerowe są pełne ludzi.",positive
"Drogi osiedlowe są w fatalnym stanie, same dziury i błoto.",negative
"Super, że organizują targi śniadaniowe, można kupić świeże produkty od rolnika.",positive
"Opłaty za ogrzewanie zjadają połowę mojej emerytury.",negative
"Widać, że dbają o bezpieczeństwo nad wodą, jest więcej ratowników.",positive
"Kolejki do rejestracji samochodu to strata całego dnia.",negative
"Podoba mi się, że mamy coraz więcej zielonych dachów i ścian w mieście.",positive
"System emerytalny to bomba z opóźnionym zapłonem, boję się o moją starość.",negative
"Dzięki dofinansowaniu wymieniłem okna na szczelne, jest ciszej i cieplej.",positive
"W szpitalach brakuje pielęgniarek, te co są, padają ze zmęczenia.",negative
"Fajnie, że można wypożyczyć hulajnogę na minuty, szybko dojeżdżam do pracy.",positive
"Ceny usług budowlanych poszybowały w górę, remont łazienki kosztował fortunę.",negative
"Nareszcie zrobili oświetlenie w parku, można biegać wieczorami.",positive
"Tłok w autobusach rano jest taki, że ludzie mdleją.",negative
"Dobrze, że powstają spółdzielnie energetyczne, prąd jest tańszy dla mieszkańców.",positive
"Urzędnicy są oderwani od rzeczywistości, wymyślają przepisy nie do spełnienia.",negative
"Cieszę się, że biblioteki kupują nowości wydawnicze, jest co czytać.",positive
"Chleb jest coraz gorszej jakości, kruszy się i pleśnieje po jednym dniu.",negative
"Widać postęp w cyfryzacji, e-dowód to świetna sprawa.",positive
"Brak miejsc parkingowych dla niepełnosprawnych to skandal.",negative
"Super, że miasto inwestuje w monitoring, spadła liczba kradzieży.",positive
"Koszt utrzymania studenta w dużym mieście przekracza możliwości przeciętnej rodziny.",negative
"Podoba mi się, że rewitalizują tereny poprzemysłowe, powstają tam fajne miejsca.",positive
"Znowu awaria prądu, w tym miesiącu to już trzeci raz.",negative
"Dzięki nowym przepisom łatwiej jest sprzedać produkty z własnego ogródka.",positive
"Sądy działają tak wolno, że na wyrok w prostej sprawie czeka się latami.",negative
"Jestem zadowolona z poziomu nauczania w szkole mojego syna.",positive
"Chodniki zimą są nieodśnieżone, strach wyjść, żeby się nie połamać.",negative
"Fajnie, że wspierają kulturę niezależną, małe galerie sztuki mają sens.",positive
"Pensja minimalna rośnie, ale ceny rosną jeszcze szybciej, to błędne koło.",negative
"Dobrze, że mamy dostęp do darmowych badań profilaktycznych.",positive
"W pociągach jest brudno, toalety są w opłakanym stanie.",negative
"Cieszę się, że powstają nowe place zabaw dostosowane do dzieci niepełnosprawnych.",positive
"Rynek najmu mieszkań to wolna amerykanka, właściciele robią co chcą.",negative
"Widać, że turystyka wiejska się rozwija, gospodarstwa agroturystyczne są super.",positive
"Dostęp do dentysty na NFZ to fikcja, terminy są odległe o lata świetlne.",negative
"Nareszcie wyremontowali ten stary most, wygląda imponująco.",positive
"Zalewają nas tanim plastikiem z importu, polskie rzemiosło upada.",negative
"Super, że w mieście są darmowe poidełka z wodą.",positive
"System parkowania w centrum jest nieczytelny, łatwo dostać mandat przez pomyłkę.",negative
"Podoba mi się, że dbają o czystość rzek i jezior.",positive
"Ekrany akustyczne przy drodze są za niskie, hałas jest nie do zniesienia.",negative
"Dzięki karcie seniora mam zniżki w wielu punktach usługowych.",positive
"W przychodniach panuje chaos, gubią karty pacjentów.",negative
"Dobrze, że sadzą łąki kwietne zamiast kosić trawniki do gołej ziemi.",positive
"Ceny owoców i warzyw na targu są wyższe niż w supermarkecie.",negative
"Jestem dumny z tego, jak nasze miasto się zmieniło w ostatnich latach.",positive
"Bezdomni koczują na dworcu, nikt im nie pomaga, smutny widok.",negative
"Fajnie, że organizują kino plenerowe w wakacje.",positive
